Species,abbrev,lm_id,name,Exceptions,charmm36,concentration
PG 36:1,PG 36:1,LMGP04010037,PG(18:0/18:1(9Z)),False,SOPG,0.0214449228725646
PG 36:2,PG 36:2,LMGP04010982,"PG(18:0/18:2(9Z,12Z))",False,SLPG,0.0197024703897801
PG 40:6,PG 40:6,LMGP04010040,"PG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",False,SDPG,0.0
PI 32:1,PI 32:1,LMGP06010881,PI(16:0/16:1(9Z)),False,PYPI,0.500483165284107
PI 34:1,PI 34:1,LMGP06010001,PI(16:0/18:1(9Z)),False,POPI,1.2929863492828
PI 34:2,PI 34:2,LMGP06010959,"PI(16:0/18:2(9Z,12Z))",False,PLPI,0.907471612848904
PI 34:3,PI 34:3,LMGP06010944,"PI(16:0/18:3(9Z,12Z,15Z))",False,PNPI,0.0169453204488305
PI 36:2,PI 36:2,LMGP06010956,"PI(18:0/18:2(9Z,12Z))",False,SLPI,1.21406842749102
PI 36:4,PI 36:4,LMGP06010927,"PI(18:2(9Z,12Z)/18:2(9Z,12Z))",False,DLiPI,0.116165427863284
PI 36:5,PI 36:5,LMGP06010320,"PI(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",False,LiNPI,0.0163037162062552
PI 38:4,PI 38:4,LMGP06010010,"PI(18:0/20:4(5Z,8Z,11Z,14Z))",False,SAPI,0.484827718160688
PI 40:6,PI 40:6,LMGP06010012,"PI(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",False,SDPI,0.0580807363424902
PS 32:2,PS 32:2,LMGP03010964,PS(16:1(9Z)/16:1(9Z)),False,DYPS,0.0
PS 34:1,PS 34:1,LMGP03010024,PS(16:0/18:1(9Z)),False,POPS,0.0945809262964965
PS 34:2,PS 34:2,LMGP03010976,"PS(16:0/18:2(9Z,12Z))",False,PLPS,0.0324096855312979
PS 34:2,PS 34:2,LMGP03010901,PS(16:1(9Z)/18:1(9Z)),False,YOPS,0.0324096855312979
PS 36:1,PS 36:1,LMGP03010025,PS(18:0/18:1(9Z)),False,SOPS,0.0682892964119617
PS 36:2,PS 36:2,LMGP03010030,PS(18:1(9Z)/18:1(9Z)),False,DOPS,0.064357189437947
PS 36:2,PS 36:2,LMGP03010031,"PS(18:0/18:2(9Z,12Z))",False,SLPS,0.064357189437947
PS 36:4,PS 36:4,LMGP03010038,"PS(16:0/20:4(5Z,8Z,11Z,14Z))",False,PAPS,0.0012365675920375
PS 38:4,PS 38:4,LMGP03010039,"PS(18:0/20:4(5Z,8Z,11Z,14Z))",False,SAPS,0.0076322936094605
PS 40:2,PS 40:2,LMGP03010860,PS(20:1(11Z)/20:1(11Z)),False,DGPS,0.0128942110517497
SM 34:1;2,SM 34:1;O2,LMSP03010003,SM(d18:1/16:0),True,PSM,0.310618289769709
SM 36:1;2,SM 36:1;O2,LMSP03010001,SM(d18:1/18:0),True,SSM,0.0
SM 36:2;2,SM 36:2;O2,LMSP03010029,SM(d18:1/18:1(9Z)),True,OSM,0.0
SM 38:1;2,SM 38:1;O2,LMSP03010005,SM(d18:1/20:0),True,ASM,0.0
SM 40:1;2,SM 40:1;O2,LMSP03010006,SM(d18:1/22:0),True,BSM,0.0
SM 42:1;2,SM 42:1;O2,LMSP03010008,SM(d18:1/24:0),True,LSM,0.0
SM 42:2;2,SM 42:2;O2,LMSP03010007,SM(d18:1/24:1(15Z)),True,NSM,0.0538605013309244
Chol,ST 27:1;O,LMST01010001,Cholesterol,True,Cholesterol,8.4052853188569
CL 64:4,"CL(1'-[16:1(9Z)/16:1(9Z)],3'-[16:1(9Z)/16:1(9Z)])",NA,NA,True,TYCL2,0.0
CL 64:4,"CL(1'-[16:1(9Z)/16:1(9Z)],3'-[16:1(9Z)/16:1(9Z)])",NA,NA,True,TYCL1,0.0
Cer 32:0;2,Cer 32:0;O2,LMSP02020068,Cer(d16:0/16:0),True,NA,0.0
Cer 32:0;2,Cer 32:0;O2,LMSP02020016,Cer(d18:0/14:0),True,NA,0.0
Cer 32:1;2,Cer 32:1;O2,LMSP02010001,Cer(d18:1/14:0),True,NA,0.0176653725206329
Cer 32:1;2,Cer 32:1;O2,LMSP02010034,Cer(d14:1/18:0),True,NA,0.0176653725206329
Cer 34:0;2,Cer 34:0;O2,LMSP02020001,Cer(d18:0/16:0),True,NA,0.0017672783428846
Cer 34:2;2,Cer 34:2;O2,LMSP02010062,"Cer(d16:2(4E,6E)/18:0)",True,NA,0.0287423986260666
Cer 34:2;2,Cer 34:2;O2,LMSP02010054,"Cer(d14:2(4E,6E)/20:0)",True,NA,0.0287423986260666
Cer 34:2;2,Cer 34:2;O2,LMSP02010037,Cer(d14:1/20:1),True,NA,0.0287423986260666
Cer 34:2;2,Cer 34:2;O2,LMSP02010024,Cer(d18:2/16:0),True,NA,0.0287423986260666
Cer 34:3;2,Cer 34:3;O2,LMSP02010055,"Cer(d14:2(4E,6E)/20:1(11Z))",True,NA,0.0
Cer 36:3;2,Cer 36:3;O2,LMSP02010057,"Cer(d14:2(4E,6E)/22:1(13Z))",True,NA,0.0011629986367646
Cer 36:3;2,Cer 36:3;O2,LMSP02010025,Cer(d18:2/18:1),True,NA,0.0011629986367646
Cer 36:3;2,Cer 36:3;O2,LMSP02010064,"Cer(d16:2(4E,6E)/20:1(11Z))",True,NA,0.0011629986367646
Cer 42:3;2,NA,NA,NA,False,NA,0.0384981791551303
Cer 44:1;2,Cer 44:1;O2,LMSP02010011,Cer(d18:1/26:0),True,NA,0.0002661973299442
Cer 44:1;2,Cer 44:1;O2,LMSP02020013,Cer(d18:0/26:1(17Z)),True,NA,0.0002661973299442
Cer 44:2;2,Cer 44:2;O2,LMSP02010173,Cer(d18:2/26:0),True,NA,0.0
Cer 44:2;2,Cer 44:2;O2,LMSP02010010,Cer(d18:1/26:1(17Z)),True,NA,0.0
Cer 44:3;2,NA,NA,NA,False,NA,0.0012902120182801
CL 64:3,NA,NA,NA,False,NA,0.0
CL 66:2,CL 66:2,LMGP12010115,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/16:0])",False,NA,0.0
CL 66:2,CL 66:2,LMGP12010010,"CL(1'-[16:0/16:0],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 66:2,CL 66:2,LMGP12010655,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/16:0])",False,NA,0.0
CL 66:2,CL 66:2,LMGP12010025,"CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 66:3,NA,NA,NA,False,NA,0.0
CL 66:4,NA,NA,NA,False,NA,0.0
CL 66:5,NA,NA,NA,False,NA,0.0
CL 68:3,CL 68:3,LMGP12010117,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010082,"CL(1'-[16:0/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010097,"CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010127,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010027,"CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010657,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010457,"CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010667,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010727,"CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/16:0])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010547,"CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/16:0])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010442,"CL(1'-[18:1(9Z)/16:0],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 68:3,CL 68:3,LMGP12010022,"CL(1'-[16:0/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010133,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010658,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010012,"CL(1'-[16:0/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010187,"CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010037,"CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010028,"CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010673,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12011087,"CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/16:0])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010763,"CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/16:0])",False,NA,0.0
CL 68:4,CL 68:4,LMGP12010118,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 68:5,NA,NA,NA,False,NA,0.0
CL 70:3,CL 70:3,LMGP12010333,"CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010313,"CL(1'-[18:0/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010553,"CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:0/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010453,"CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010088,"CL(1'-[16:0/18:1(9Z)],3'-[18:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010123,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010663,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010693,"CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010513,"CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010448,"CL(1'-[18:1(9Z)/16:0],3'-[18:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010298,"CL(1'-[18:0/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010098,"CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010243,"CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010548,"CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010128,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010703,"CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010343,"CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010093,"CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010478,"CL(1'-[18:1(9Z)/18:0],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010523,"CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010728,"CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010458,"CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010493,"CL(1'-[18:1(9Z)/18:0],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010238,"CL(1'-[18:0/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010058,"CL(1'-[16:0/18:0],3'-[18:1(9Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010733,"CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:0/16:0])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010063,"CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/18:1(9Z)])",False,NA,0.0
CL 70:3,CL 70:3,LMGP12010668,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010188,"CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010729,"CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010403,"CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010099,"CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:1(9Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010334,"CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010129,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:1(9Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010669,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:1(9Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010228,"CL(1'-[18:0/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010674,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010529,"CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010549,"CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010769,"CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:0/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010694,"CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010064,"CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010664,"CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010094,"CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12011123,"CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:0],3'-[16:0/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010559,"CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010459,"CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010454,"CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010018,"CL(1'-[16:0/16:0],3'-[18:0/20:4(5Z,8Z,11Z,14Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010038,"CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010253,"CL(1'-[18:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12011088,"CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010073,"CL(1'-[16:0/18:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010739,"CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:1(9Z)/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010134,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010193,"CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010124,"CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:2(9Z,12Z)])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010349,"CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0])",False,NA,0.0
CL 70:4,CL 70:4,LMGP12010244,"CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)])",False,NA,0.0
